LSC_usage,Blast_Usage_1
DACH1,GAPDH
LRMDA,LGALS1
ZEB2,FTL
MALAT1,TMSB4X
MBNL1,ACTB
CELF2,S100A4
PBX3,ACTG1
TRPS1,S100A6
MEIS1,SRGN
ATP8B4,SERF2
SOX5,COX4I1
INPP4B,AZU1
NEAT1,FAU
NKAIN2,CFL1
ARHGAP15,TMSB10
CDK6,TPT1
PARP8,UBA52
TCF4,RACK1
FOXP1,PFN1
ZNF521,ATP5MC2
CCDC144NL-AS1,OAZ1
ITGA4,FTH1
FAF1,HLA-DRA
CLSTN2,PPIA
KCNN2,EIF1
TBC1D5,MYL6
RNF220,PTMA
PRKCE,EEF1A1
SMYD3,TYROBP
CCDC26,UQCRH
JMJD1C,EEF1G
EXOC4,B2M
ARID1B,HLA-B
PDE3B,CST3
PTPRC,NACA
ETV6,TSPO
TAPT1,SLC25A6
PPP3R1,SNHG29
UTY,VIM
DOCK2,BTF3
PAN3,ATP5MG
HDAC9,EIF3K
ZBTB20,CRIP1
FNDC3B,ATP5F1E
RREB1,HLA-C
ZCCHC7,COX7C
VPS13B,COX6B1
MED13L,GSTP1
PROM1,CD74
MAML3,EEF2
SNCA,SNHG6
RABGAP1L,NME2
PCNX1,UQCRB
GLS,SNHG5
ESYT2,PLD3
VTI1A,COX5B
CHST11,COX8A
PTEN,LYZ
HERC1,VAMP8
PIK3R1,APOC2
ELMO1,EEF1B2
KMT2C,SH3BGRL3
KDM6A,RNASE2
CRADD,YBX1
FBXL17,ZFAS1
KYNU,TOMM7
UVRAG,HNRNPA1
ADK,MIF
MIRLET7BHG,PFDN5
DIAPH2,SLC25A5
LPP,HLA-DRB1
MEF2C,HIGD2A
KCNQ5,H3F3A
PDE7A,CLEC11A
AFF3,HLA-DPA1
WDR49,MZT2B
IMMP2L,S100A10
CPQ,ARPC1B
DOCK8,CFD
UBASH3B,UQCR11
COMMD10,HLA-DPB1
IGF2BP2,TAGLN2
CCDC144NL,ATP5MC3
FHIT,CYBA
DYRK1A,COX6A1
ELF1,ELANE
RUNX2,ATP5F1D
DENND1B,COX7A2
TPP2,CLIC1
HGF,ALDOA
MMRN1,COX6C
UTRN,HLA-A
SENP6,TXN
MS4A4E,PRTN3
TBL1XR1,RBM3
ANKRD28,RNASEK
PPP3CA,PYCARD
ITPR1,NDUFA4
XYLT1,UQCR10
RUNX1,GAS5
