LSC_usage,Blast_Usage_1,Blast_Usage_2,Blast_Usage_3
RUNX1,EEF1A1,RNASE2,HIST1H4C
MIR181A1HG,SNHG29,LYZ,TUBB
JMJD1C,EEF1B2,LGALS1,TUBA1B
SSBP2,ITM2A,PPIB,RRM2
CELF2,SERPINB1,MPO,TYMS
MED13L,RACK1,PFN1,UBE2C
GNAQ,BTF3,MRPL33,H2AFZ
CDC42SE2,HSP90AB1,PRKAR2B,HIST1H2AI
KMT2C,NPM1,AZU1,TK1
PLCB1,EEF2,CFL1,TOP2A
ELF1,LY6E,SAMHD1,HIST1H1B
KCNQ5,GAS5,NKG7,TUBB4B
TAOK3,NACA,ANXA2,PKMYT1
DYRK1A,HNRNPA1,MYL6,HMGN2
PTEN,GAPDH,GSTP1,STMN1
AUTS2,HMGA1,CYBA,AURKB
ARID4B,H3F3B,TMSB10,MKI67
FNDC3B,HINT1,RETN,HIST1H2AJ
ARHGAP15,PTPRCAP,HCST,PCLAF
CHST11,SMIM24,COX8A,HIST1H3G
SMYD3,PTMA,C20orf27,HMGB2
AKAP13,CD99,P4HB,BIRC5
MBNL1,CD52,ACTG1,NUSAP1
KDM6A,EGFL7,PKM,HMGB1
PTPRC,SNHG7,ACTB,CKS1B
PSME4,CLIP3,NDUFB9,CENPM
PAN3,TPT1,TPI1,PLK1
CERS6,DAD1,VAMP8,CCNA2
KMT2E,H3F3A,GRN,H2AFX
FOXP1,TSC22D1,CALM1,DUT
MIR222HG,SNHG8,PYCARD,TPX2
TCF12,HSPA8,ATP5MC3,CDCA5
VAV3,EEF1G,ATP5MF,KIFC1
PPP3R1,SLC25A6,MYDGF,HMMR
AL163541.1,LDHB,RNASE3,CDKN3
TRIO,CD34,COX5B,CDCA3
MARCH6,PRSS57,RNH1,CENPF
SIK3,GIHCG,S100A4,PTTG1
ANTXR2,RHOB,RAB32,CDCA8
IGF2BP2,MEST,COX4I1,ZWINT
ARID1B,KLF2,TSPO,UBE2S
RREB1,EIF3L,ENO1,APOBEC3B
CHD1,WASHC1,SERF2,CENPW
PDE3B,NME2,SSR4,HIST1H3F
RNF220,EIF4A1,COX6A1,ASF1B
ELMO1,TXN,S100A10,UBE2T
RTN4,CLIC1,GAPDH,DHFR
ATP2C1,HIST2H2AA4,ARPC1B,CCNB2
MACF1,SLC25A3,CAPG,HIST1H2AH
MAML3,TAGLN2,CRIP1,PCNA
ZEB2,SPARC,YBX1,MYBL2
AC125603.2,HOPX,ALOX5AP,HIST1H3B
UBE2E1,IMPDH2,AL355922.1,MCM7
PTBP2,PDLIM1,AC020656.1,SPC25
RUNX2,EIF3E,NDUFB2,CDT1
TBC1D5,VIM,MS4A6A,CDC20
ANKRD28,ARHGDIB,SPCS1,SPC24
ETV6,EIF3F,TPM3,HIST1H3D
SLC38A1,GYPC,YWHAB,NCAPH
DENND4A,CLEC11A,ITGB2,SKA3
ARID2,APEX1,BLOC1S1,FOXM1
SFMBT2,H1FX,CFD,TUBA1C
RERE,HIST1H1C,CORO1A,KIF4A
GLS,MDK,ERP29,CEP55
MEF2A,PPIA,GSN,ANLN
SMCHD1,ATP5MC2,CTSZ,FBXO5
AFF1,PRDX6,ATP6V0B,MAD2L1
TBL1XR1,FAU,DBI,KIF11
ZFAND3,UBB,MICOS10,WDR34
ZEB1,HSPB1,ANXA5,MND1
NRIP1,CTSW,IRF8,CDC45
CHD2,LTC4S,PPA1,KIF2C
BIRC6,SOX4,TRAPPC5,CKAP2L
IMMP2L,ZFAS1,COX7B,DTYMK
RAP1B,RSL1D1,NUDT5,FEN1
UBE2H,GRHPR,LDHA,DLGAP5
NEAT1,PHB2,ATP5MD,RAD51AP1
MCTP1,KRT18,UQCR10,HIST1H2AG
UBE2E2,CD9,COX6C,CLSPN
UBR5,H2AFY,MGST3,ESCO2
RICTOR,EEF1D,PLAC8,GTSE1
ZNF804A,SUMO2,PPIA,ASPM
MALAT1,TALDO1,PSMA7,LMNB1
KAT6A,CHCHD2,NDUFC2,TMEM106C
LYN,SLC9A3R2,MNDA,CENPU
STT3B,HSD17B11,LY86,EGR1
LRMDA,PSME1,MS4A4A,CCNB1
ARIH1,CCT4,MGST1,CDK1
FBXO11,NTHL1,TKT,GGH
SPAG9,PPP1R14B,APLP2,RAN
PHIP,TXNIP,NDUFAB1,KIF23
DENND1B,ATP5F1B,ATP5ME,CKS2
PIK3CA,TPSAB1,NDUFA13,TMPO
EXOC4,MPG,TNFSF13,RACGAP1
TLE4,FSCN1,AP2S1,IER2
ITPR1,CCNI,NRGN,KIF15
LRRC8B,SELL,DDOST,RAD51
ZC3HAV1,TSC22D3,UQCRH,NCAPG
NFAT5,SNRPD2,ISOC2,AURKA
HERC1,TRBC2,LILRB4,GINS2
