LSC_usage,Blast_Usage_1,Blast_Usage_2,Blast_Usage_3,Blast_Usage_4
RUNX1,EEF1A1,FTL,CST3,HIST1H4C
SSBP2,GAPDH,FTH1,CD74,UBE2C
CDC42SE2,EEF1B2,CTSS,CD1C,HIST1H1B
ZEB2,RACK1,LYZ,HLA-DPA1,HMGB2
CHST11,SNHG29,S100A9,HLA-DRA,HMGB1
AUTS2,CD99,IFI30,HLA-DRB1,TOP2A
MIR181A1HG,HSP90AB1,SAT1,CLEC10A,HIST1H2AI
MED13L,TAGLN2,S100A8,HLA-DPB1,HMGN2
GNAQ,BTF3,S100A6,HLA-DQA1,HIST1H3B
CELF2,VIM,CEBPB,CD1E,TUBA1B
KMT2C,PTMA,SRGN,AL138899.1,AZU1
FNDC3B,ITM2A,SERPINA1,SAMHD1,H2AFZ
PTEN,SERPINB1,G0S2,ACTB,MKI67
DYRK1A,NPM1,NINJ1,PLD4,PRTN3
TAOK3,NACA,PLIN2,HLA-DQB1,TUBB
PLCB1,HNRNPA1,TYROBP,MS4A6A,ELANE
MBNL1,KLF2,PSAP,FCER1A,HIST1H2AJ
AKAP13,SLC25A6,CD14,MRC1,AURKB
ELF1,EEF2,TSPO,GABARAP,TYMS
ARID4B,HSPA8,S100A11,LGALS1,RRM2
KCNQ5,EEF1G,BCL2A1,LSP1,JUN
PSME4,H3F3A,CSTA,HLA-DRB5,TPX2
CERS6,HINT1,BTG1,TMSB10,CENPM
MALAT1,LDHB,NAMPT,ENHO,CDCA3
KDM6A,PRSS57,C5AR1,S100A4,CENPF
JMJD1C,NME2,LGALS3,CTSZ,BIRC5
ATP2C1,EIF3L,CDA,HLA-DMA,TK1
KMT2E,CLIC1,S100A4,PFN1,HIST1H3F
UBE2E1,TXN,S100A12,MYL6,STMN1
PDE3B,DAD1,FCER1G,CYBA,TEX14
MIR222HG,PPIA,NCF2,HLA-DMB,PCLAF
UBE2H,TALDO1,TYMP,ACTG1,CENPW
RREB1,EIF4A1,CEBPD,FCER2,HIST1H3D
TCF12,EGFL7,TREM1,FCER1G,HIST1H2AH
PTBP2,HMGA1,BRI3,ARPC1B,HIST1H4F
CHD1,LY6E,S100A10,KIF17,CDKN3
MAML3,CLIP3,FPR1,ITGB7,EGR1
SIK3,UBB,PILRA,LY86,NUSAP1
ETV6,HIST2H2AA4,SMIM25,GSTP1,MS4A3
PTPRC,GIHCG,RBM47,CORO1A,CALR
PAN3,CD52,CAST,TMSB4X,CDCA8
VAV3,CD34,MNDA,CFL1,PKMYT1
MARCH6,PTPRCAP,JUND,SERPINF1,GTSE1
ARHGAP15,ARHGDIB,PIK3R5,VSIG4,CKS1B
SMYD3,MIF,SGK1,LGALS2,IER2
TBL1XR1,ATP5MC2,SLC11A1,DBI,MPO
GLS,ATP5F1B,STX11,MS4A4E,DUT
RNF220,GAS5,CDC42EP3,IGSF6,CCNB2
AL163541.1,TSC22D3,UPP1,COTL1,TUBB4B
PPP3R1,YBX1,ZFP36L1,CFP,PLK1
TRIO,CLEC11A,HBEGF,CSF1R,KIFC1
IGF2BP2,EIF3F,PLBD1,SPINT2,PTTG1
ARID1B,ENO1,LGALS2,CALM1,HIST1H3G
MACF1,SLC25A3,STXBP2,GRN,CDC20
ZFAND3,SNHG7,FCGRT,RNASE2,ANLN
UBE2E2,SMIM24,FCN1,GPR183,HIST1H1D
AC125603.2,C1QTNF4,C19orf38,FCGRT,ANP32E
ARID2,TSC22D1,SLC7A7,RNASET2,CCNA2
ANKRD28,B2M,NCF1,AC092809.2,HSP90B1
PIK3R1,FAU,FOS,TIMP1,ASPM
FOXP1,TXNIP,VSIR,IGFLR1,DHFR
LRMDA,HIST1H2AC,FGR,MYL12A,HIST1H2AL
ZEB1,LDHA,TMSB4X,TYROBP,HIST1H2AG
RUNX2,PSME1,IFITM2,FXYD5,CCNB1
FHIT,RHOB,ATP2B1,AIF1,ASF1B
NEAT1,H3F3B,BLVRB,RAC1,HMMR
MEF2A,ALDOA,RAB31,CKLF,KIF2C
NFAT5,TPT1,PLAUR,IL13RA1,TROAP
PHLPP1,CCNI,EVI2B,NUDT5,CDCA5
LYN,SNHG8,TMEM170B,FOS,H2AFX
PRKCH,MEST,ANXA5,FCGR2B,CDT1
SLC38A1,SUMO2,TNFRSF1B,ITGB2,UBE2T
DNAJC1,EEF1D,VCAN,BLNK,UBE2S
CHD2,HSPB1,ASAP1,HCST,HIST1H3C
RTN4,CD9,UBC,ATP5F1E,KIF4A
IMMP2L,MYL12B,CLEC7A,AOAH,NCAPH
DENND1B,IMPDH2,COTL1,PAK1,RAN
BBX,CHCHD2,RGS2,HDAC9,KIF15
OSBPL9,HIST1H2BC,EFHD2,CD37,AC253572.2
RAP1B,PRDX6,LRP1,GABARAPL2,DLGAP5
TNRC6B,GYPC,MCL1,ANXA2,MYBL2
SFMBT2,EIF3E,SPI1,LILRB4,HSP90AA1
ABI1,HOPX,ZFP36,C1orf162,UHRF1
MT-CO1,APEX1,BCL6,MSLN,TMPO
FBXO11,COMT,TNFAIP2,LMNA,HIST1H2AM
ESYT2,UQCRH,IFNGR2,EMP3,CTSG
NRIP1,CYTL1,HIF1A,CRIP1,HJURP
PDGFC,PDLIM1,NEDD9,MS4A4A,ZWINT
MT-CYB,SH3BGRL3,GPCPD1,RHOC,HIST1H1E
ELMO1,C1QBP,PLEK,LST1,FOXM1
MT-CO3,VAMP8,LAPTM5,NCF1,KIF11
RERE,ATP5F1A,ODF3B,ACY3,HIST2H2AB
TLE4,RSL1D1,JARID2,SERF2,KIF20A
ARIH1,PNRC1,LILRA5,CD68,FBXO5
RICTOR,EIF3D,ATP6V0C,IFI30,IGLL1
STT3B,SLC25A5,LST1,CD86,CENPU
UBR5,PHB2,PTAFR,IFI6,KNL1
SMCHD1,HSP90AA1,MPEG1,ARPC3,LMNB1
KAT6A,SOX4,HLA-B,ARF6,CLSPN
PHIP,NOP53,ELOB,IFITM3,APOBEC3B
