LSC_usage,Blast_Usage_1,Blast_Usage_2
SERPINB1,S100A9,CD74
ITM2A,S100A6,HLA-DRA
CD99,S100A8,HLA-DPA1
PTMA,LYZ,HLA-DPB1
EGFL7,FTL,CST3
CD52,S100A4,CLEC10A
KLF2,VCAN,HLA-DQA1
RACK1,IFI30,PLD4
CD69,TYROBP,HLA-DRB5
ST18,CTSS,HLA-DRB1
HINT1,CD14,HLA-DQB1
GAPDH,TSPO,SAMHD1
H3F3B,S100A11,CD1C
RHEX,TYMP,AFF3
SNHG29,SERPINA1,GABARAP
CD34,FTH1,CD1E
MEST,SRGN,HLA-DQA2
PRSS57,TMEM176B,HLA-DMA
TSC22D1,FCER1G,ACY3
BTF3,LGALS3,SERPINF1
EEF1A1,MNDA,HDAC9
CLIP3,CEBPB,LSP1
EEF1B2,TMEM176A,HLA-DMB
TAGLN2,S100A12,ENHO
H3F3A,S100A10,MAP3K8
KLF6,LST1,MS4A6A
RNF220,NCF2,GPR183
SMIM24,CAST,FLT3
VIM,CD68,FCER2
SNHG7,CSTA,RUNX2
PTPRCAP,SAT1,TMSB4X
C1QTNF4,CFD,CYBA
NPM1,CLEC7A,MRC1
HSPB1,PSAP,MS4A4E
GIHCG,NAMPT,CSF1R
SLC9A3R2,GRN,LILRB4
CRIP2,HLA-B,AREG
LY6E,CDA,NUDT5
CCND2,ZFP36L1,LGALS1
CDK6,BRI3,NIBAN3
SEPTIN6,FGR,ADAM28
HMGA1,NCF1,CXCR4
HSP90AB1,NFKBIA,ITGB7
CRIP1,CST3,GSTP1
TXN,ANXA5,KIF17
ANGPT1,SPI1,RNASET2
CD9,G0S2,RAB11FIP1
CNST,STX11,RAC1
MDK,FCGRT,TMSB10
HOPX,BTG1,CKLF
SSBP2,VSIR,ACTG1
ADGRE5,NINJ1,CD36
GAS5,SLC11A1,NMB
SLC25A3,PLBD1,CORO1A
CLEC11A,PLXDC2,CEBPD
TXNIP,PILRA,IGSF6
EVA1B,SLC7A7,FCHSD2
S1PR4,MAFB,IL13RA1
MTURN,C5AR1,BLNK
IQGAP2,LRP1,DHRS9
SNHG8,PDE4D,MEF2C
AL590226.1,OAZ1,UVRAG
ISYNA1,TMSB4X,SFMBT2
PDLIM1,JUNB,ZFP36
RAMP1,ACSL1,IRF8
MBOAT7,CEBPD,NKG7
GNG11,ARHGAP26,LGALS2
TRH,C19orf38,MEF2A
HNRNPA1,LRRK2,KCNE5
KCNQ5,HLA-C,FCER1A
KDM5B,MS4A6A,AL138899.1
FSCN1,NEAT1,STK17B
JUP,ASAP1,CYBB
GYPC,RBM47,HERPUD1
HSPA8,ANXA2,CTSZ
DIPK1B,CCL3,FCGRT
TPPP3,FPR1,FXYD5
CYTL1,AGTRAP,FCMR
LTC4S,COTL1,IFITM2
HMGN3,TNFAIP2,OLFML3
ERG,BLVRB,LINC00578
MALAT1,CTSH,IGFLR1
EEF2,HCK,MYL6
TTC3,TKT,CXCL14
SEPTIN11,C1orf162,ARPC1B
FAM30A,PLEK,SULF2
RBPMS,NPC2,IRF7
ITGA9,RETN,FAU
NPR3,TMSB10,IL3RA
CAVIN1,JARID2,MYL12A
LYL1,TMEM170B,RNASE6
H2AFY,ZFP36,SPIB
TSC22D3,PRLR,FOS
NACA,LYST,MS4A4A
CLIC1,TNFSF13B,NACA
DBI,AC020656.1,TNFRSF11A
LMNA,HK3,VSIG4
DAD1,STXBP2,SOX4
ANKRD28,CHCHD10,TREM2
MACF1,GPCPD1,ALOX5AP
