LSC_usage,Blast_Usage_1,Blast_Usage_2,Blast_Usage_3
RUNX1,GAPDH,LYZ,HIST1H4C
MIR181A1HG,EEF1A1,S100A9,MKI67
GNAQ,EEF1B2,VCAN,TOP2A
CELF2,RACK1,CTSS,UBE2C
SSBP2,SNHG29,FTL,HMGB2
TAOK3,PTMA,S100A8,AURKB
KCNQ5,BTF3,SERPINA1,RRM2
AUTS2,TXN,TMEM176B,BIRC5
PLCB1,EEF1G,TMEM176A,TYMS
ELMO1,MIF,SAT1,TUBA1B
KMT2C,PPIA,CEBPB,TK1
ZEB2,NPM1,TSPO,HIST1H1B
MED13L,NME2,S100A6,KIFC1
ARID1B,HINT1,ACSL1,NUSAP1
CDK6,VIM,IFI30,CENPF
MIR222HG,HMGA1,MNDA,PCLAF
JMJD1C,CD99,CD14,TPX2
CDC42SE2,CLIC1,SRGN,CDCA3
DYRK1A,HNRNPA1,TYROBP,PKMYT1
SLC38A1,NACA,LGALS3,TUBB
MARCH6,EEF2,PLBD1,FOXM1
FNDC3B,PRSS57,SLC11A1,PLK1
FOXP1,ENO1,NAMPT,HMGN2
ELF1,GAS5,FOS,HIST1H2AI
PTEN,HSP90AB1,CFD,CCNA2
ARHGAP15,HSPA8,CD68,H2AFZ
KDM6A,SLC25A6,PSAP,HIST1H3C
TBC1D5,SLC25A3,PILRA,CDKN3
VAV3,CLEC11A,NINJ1,DLGAP5
PARP8,LDHA,FPR1,CENPM
TCF12,EIF4A1,STXBP2,HIST1H3G
EXOC4,TAGLN2,TYMP,HIST1H2AJ
PAN3,CD9,S100A11,CDC20
PTPRC,SERPINB1,FTH1,NCAPH
AC125603.2,TPT1,S100A4,CDCA5
ATP2C1,GIHCG,NCF2,TUBB4B
CERS6,HMGN3,HLA-B,HMMR
RNF220,DAD1,CSTA,KIF15
ETV6,TALDO1,CEBPD,HMGB1
TRIO,LDHB,DUSP1,CDK1
PSME4,PSMA6,AIF1,GTSE1
AL163541.1,HSPB1,VSIR,APOBEC3B
MAML3,IMPDH2,TNFSF13B,CDCA8
MACF1,SNHG6,CAST,HIST1H3F
RICTOR,CHCHD2,NCF1,ASPM
SIK3,YBX1,LRRK2,HIST1H3B
PTBP2,H3F3A,CDC42EP3,CKAP2L
TOX,ANXA1,BRI3,KIF2C
PDE3B,ATP5MC2,RBM47,ASF1B
RERE,ATP5F1B,CDA,KIF20A
UBE2H,C1QBP,BLVRB,KIF4A
NEAT1,MZT2B,NFKBIA,STMN1
PHLPP1,KLF2,SLC25A37,CCNB2
FAF1,SMIM24,FGR,KIF11
PPP3R1,PRDX6,TNFRSF1B,ANLN
DENND1B,EGFL7,JUNB,MYBL2
NRIP1,ITM2A,FCER1G,CKS1B
ZBTB20,EIF3L,CLEC7A,TROAP
MAN1A1,MPO,LRP1,H2AFX
TAPT1,SUMO2,HLA-C,CEP55
BCL2,SNHG8,PLXDC2,HJURP
FHIT,SNRPD2,PIK3R5,HIST1H3D
SMYD3,CCNI,TLR2,PTTG1
ZFAND3,UQCRH,CHCHD10,MND1
LRMDA,VAMP8,CLEC5A,SPC25
PDGFC,EIF3F,SLC7A7,SPC24
PIK3R1,ARHGDIB,KLF10,HIST1H2AH
CEP170,ATP5F1A,NLRP3,SKA3
IGF2BP2,EIF3E,AC020656.1,CDCA2
UTRN,CD52,AGTRAP,DUT
AFF1,RAN,BCL6,DIAPH3
ESYT2,HSP90AA1,LST1,ESCO2
CHST11,ZFAS1,ANXA5,SPAG5
BBX,PTPRCAP,OAZ1,KNL1
ARID2,FBL,BCL2A1,RAD51AP1
CHD1,UXT,SLC8A1,ZWINT
IMMP2L,CRIP2,STX11,IQGAP3
PICALM,DBI,ELOB,PCNA
TBL1XR1,RBM3,S100A12,KIF23
LRBA,TKT,ZFP36,DHFR
UBE2E2,PDLIM1,TMEM170B,CENPN
PDE7A,LY6E,NPC2,NCAPG
ATP8B4,ALDOA,GLT1D1,CENPE
ANKRD28,PRDX1,ITGB2,HIST1H2AG
RAD51B,SPARC,C5AR1,LMNB1
CDKAL1,RSL1D1,RAB31,NUF2
GLS,MGST1,RNASE2,CLSPN
DNAJC1,OSTC,GLRX,NDC80
MBNL1,LSM7,IER3,RAD51
AGTPBP1,NOP53,COTL1,NEK2
RREB1,STMN1,ATP2B1-AS1,PIMREG
PIK3CA,YBX3,DPYD,CENPU
PHIP,UBB,FGL2,NCAPD2
WWOX,RTRAF,BTG1,TUBA1C
FTX,PSME1,TNFAIP3,DEPDC1B
IGF2BP3,COX5A,ATP5F1E,PRC1
FNIP1,ACTG1,C19orf38,CENPW
SPAG9,PHB2,CD86,CDC25C
DOCK2,CD63,CD163,CCNB1
DACH1,MPG,ITM2B,DEPDC1
