LSC_usage,Blast_Usage_1,Blast_Usage_2
DACH1,EEF1A1,TEX14
RNF220,GAPDH,CREB5
ZFAND3,RACK1,HIST1H4C
SSBP2,EEF1B2,TMEM107
MSI2,BTF3,H1FX
CHST11,SNHG29,AP001330.4
TCF12,NACA,AC008549.1
GNAQ,SLC25A6,STEAP3-AS1
TSC22D2,TPT1,NTN4
EIF4G3,FAU,AL354811.2
LINC02506,EEF2,LINC02509
TAOK3,HINT1,LINC00052
PAN3,FTL,AC239799.2
MAPK14,UBA52,HASPIN
ANTXR2,NME2,AC253572.2
TBL1XR1,ACTG1,CCL3L1
RNF213,ATP5MC2,HIST1H1B
ARID1B,EIF1,PTCH2
RUNX1,EEF1G,HIST1H1C
PBX3,HNRNPA1,WDR74
SMCHD1,GAS5,AL021155.5
PHLPP1,PPIA,ATF3
MT-CYB,SLC25A5,HIST1H1E
RNF38,COMMD6,AC007952.4
RCOR1,FXYD5,MAP1LC3B
ARID2,B2M,HIST1H1D
PHF21A,COX4I1,LEMD1
TNRC6B,ATP5MG,SLC5A4
MT-CO1,PABPC1,AP001005.3
JMJD1C,SERP1,AC116003.1
ZEB2,EIF3H,NRP2
KIAA1211,LDHB,IGLV10-54
IGF2BP2,PFDN5,CENPW
BIRC6,H3F3A,C12orf57
ANKRD12,GABARAP,CCDC200
MT-ND5,LGALS1,AC245014.3
FNIP1,UQCRH,AC244502.1
PAM,EIF3K,AC245407.2
PRRC2B,SNHG8,AC093866.1
LYN,ZFAS1,AC012447.1
ACBD6,CHCHD2,MKI67
PPP3R1,RSL1D1,PDZRN4
HTT,HIGD2A,VPS9D1
ATAD2B,HSP90AB1,LINC00623
UBA6,EIF3F,JUN
COP1,EIF3L,TPX2
FOXN3,UBC,CXCL8
PTBP2,FTH1,Z93241.1
RUNX2,CLIC1,IQGAP3
SFMBT2,COX7C,MYBL2
ARIH1,HMGA1,SUPT3H
CDKAL1,CD37,TMOD1
PLCB1,HLA-B,PNP
TRAF3,NPM1,RAPGEF4
RALGAPA2,CD74,DHRS9
MT-ND4L,GIHCG,AC013270.1
FBXO11,YBX1,LDLRAD3
EIF2AK2,MIF,SELPLG
CELF2,TOMM7,HLA-DRB5
MT-CO3,ALDOA,ASPM
MAML2,SH3BGRL3,HIST1H3B
ARFGEF1,TKT,KIF1BP
MT-ND3,PNRC1,CDCA5
STAT1,CCNI,CENPU
TANC1,PRDX6,MYO3B
FOXP1,UQCRB,CCL5
FAM172A,SRP14,CCL3
MEIS1,SERPINB1,PCDH9
ZFAND6,EEF1D,LINC01215
DYRK1A,UBB,EGR1
RFX7,ATP5PO,AL138899.1
UBAC2,H3F3B,AC096631.1
MT-ND4,SNRPD2,SEPTIN4
DOCK8,RNASEK,AC062015.1
VPS13B,EIF3E,SPAG5-AS1
JARID2,AIF1,PLIN2
RB1CC1,PPDPF,DUSP8
MED13L,COX5A,AL133476.1
NCOA2,CD52,TNFRSF9
RICTOR,PFN1,PPP1R15A
MT-ND1,PTMA,SRGN
MIR181A1HG,SNHG6,AC104088.1
MT-CO2,ARPC3,UBE2T
NCOR1,ATP5F1E,ALKBH2
FCHSD2,NDUFA4,CROCC
MT-ATP6,PPIB,HIST1H2AL
ASH1L,COX7A2,AL158207.2
EPB41L2,NAP1L1,PKMYT1
MEF2A,RSL24D1,SOX4
PPP6R3,TMA7,ARID5A
PPP3CA,CIRBP,NEAT1
PNPT1,CFL1,LY6K
MBNL1,GNAS,AL139424.3
ANKRD17,PSMB1,C1orf21
TOX,PSME1,LINC02549
ATP9B,TOMM20,AC105219.3
ACAP2,GNG5,LINC02009
KANSL1,IMPDH2,AC068282.2
SPIDR,SNX3,RELA-DT
DENND1B,SEC61B,SEMA5A
