LSC_usage,Blast_Usage_1
GNAQ,FTL
PBX3,EEF1A1
RERE,GAPDH
ATP8B4,RACK1
RUNX1,FAU
PLCB1,ACTB
MSI2,PFN1
AUTS2,TPT1
FOXP1,ACTG1
TBC1D5,TYROBP
FNDC3B,EEF1B2
MED13L,BTF3
PHF21A,FTH1
XIST,B2M
LRMDA,EEF1G
ZNF804A,SH3BGRL3
ELMO1,SLC25A6
AFF1,CYBA
VAV3,PABPC1
RNF220,ARPC3
MBNL1,ATP5MC2
ARHGAP15,EEF2
JARID2,GABARAP
IMMP2L,EIF1
EXOC4,NACA
SSBP2,GSTP1
BCL2,UBA52
LINC02147,OAZ1
KCNQ5,RAC2
TCF12,HINT1
SMYD3,COX4I1
TNKS,CD74
MEIS1,PFDN5
TBL1XR1,CLIC1
ETV6,ATP5MG
JMJD1C,TKT
VPS13B,COMMD6
TNRC6B,ARPC1B
CHST11,TMSB10
ZFAND3,SERF2
ZBTB20,SNHG29
UTRN,PNRC1
PAN3,TMSB4X
EHMT1,TALDO1
TRPS1,PTMA
ESYT2,EIF3K
SIK3,RNASEK
GMDS,HIST1H1C
FTX,EIF3L
CERS6,CFL1
PARP8,MYL6
ZEB2,ZYX
KDM6A,ATP6V0C
IGF2BP2,CCNI
CUX1,CD63
MIR181A1HG,NME2
LRBA,YBX1
DYRK1A,ARHGDIB
STAG1,HSP90AB1
AL589693.1,HLA-B
MAML3,CD37
NEGR1,UQCRH
CYTH1,PPIA
CELF2,ATP5F1E
PTEN,TPI1
CCDC26,S100A4
ARID1B,HNRNPA1
FCHSD2,NPM1
MCTP2,ALDOA
ZCCHC7,RSL1D1
MACF1,EIF3E
ATP2C1,EIF3F
KMT2C,LGALS1
DENND1A,COX5A
ERG,CHCHD2
TRIO,GNAI2
WWOX,HLA-DRA
RAD51B,HCST
ITPR1,VAMP8
ITPR2,SERP1
COP1,PYCARD
RABGAP1L,GMFG
MSRB3,GAS5
SPIDR,TSPO
DOCK2,PSME1
XYLT1,SPINK2
UBR5,LAPTM5
DIAPH2,UFC1
SFMBT2,ERP29
CDKAL1,FXYD5
SLC24A3,HIGD2A
FAM172A,GLIPR1
FAF1,ATP5PO
ANKRD17,SSR2
PRKCB,EDF1
LPP,ENO1
NR6A1,S100A6
DOCK8,SERPINB1
CCSER1,APRT
MYCBP2,EEF1D
