LSC_usage,Blast_Usage_1,Blast_Usage_2,Blast_Usage_3
MBNL1,CD74,HIST1H4C,IGFBP7
PRDM2,HLA-DRA,UBE2C,APOE
ZEB2,EEF1A1,TYMS,IFITM3
JMJD1C,HLA-DPA1,HMGB2,IFITM1
SSBP2,TYROBP,STMN1,MDK
LRMDA,FTL,TUBB,SERPING1
HDAC9,RACK1,H2AFZ,IGFBP4
CNTN4,GAPDH,PCLAF,DCN
MDGA2,ACTB,HIST1H1B,PCOLCE
ATP8B4,NACA,TOP2A,S100A11
AUTS2,FAU,CENPM,JUN
AFF3,SH3BGRL3,TK1,FOS
PBX3,CST3,CENPU,LUM
PTPRC,HLA-DPB1,BIRC5,JUNB
PARP8,TMSB4X,HMGN2,RARRES2
TRPS1,SLC25A6,TUBA1B,CXCL12
FOXP1,BTF3,CDKN3,TFPI
NRIP1,S100A4,MKI67,DUSP1
PDE3B,TPT1,TPX2,THY1
CELF2,NME2,AURKB,MARCKS
PDE4D,SERF2,PTTG1,TF
TCF4,COX4I1,HIST1H3B,RHOB
ARHGAP15,CYBA,CKS1B,CYP1B1
KMT2C,TSPO,HMGB1,CP
SLC8A1,SNHG29,CCNA2,EGR1
TBC1D5,EEF1B2,PKMYT1,IFITM2
ZCCHC7,ACTG1,CDCA5,CLEC3B
UVRAG,UBA52,NUSAP1,LAPTM4A
CLSTN2,CFL1,UBE2T,TMEM176A
PAN3,GSTP1,KIFC1,SELENOP
RNF220,PFN1,TUBB4B,GGT5
MED13L,HLA-DRB1,RRM2,ZFP36
ARHGAP26,HLA-B,TMPO,MGP
SIK3,PFDN5,CEP55,KLF2
SFMBT2,ATP5MC2,DEK,PRSS23
MAML3,EIF3K,CDK1,ITM2B
PDE7A,PPIA,MAD2L1,CTSC
ARID1B,MYL6,SPC24,GAS6
WDFY2,FTH1,ASF1B,ZFP36L1
SENP6,GRN,HIST1H2AJ,SPARC
SSH2,OAZ1,CDCA8,APP
AOAH,S100A6,DUT,BGN
DOCK8,ATP5MG,MYBL2,ALPL
NEAT1,SSR4,CCNB2,NNMT
JARID2,ARPC1B,CLSPN,PLAC9
ITGA4,ATP5F1E,CENPF,TMEM176B
MALAT1,EEF1G,FEN1,C11orf96
FCHSD2,H3F3A,CDC20,CD81
CERS6,CAPG,HIST1H2AI,LGALS3BP
COP1,ARPC3,ZWINT,SPRY1
PRR16,VAMP8,DLGAP5,SELENOM
ETV6,EEF2,TROAP,COL6A2
ZFAND3,SLC25A5,MND1,CHRDL1
WDR49,APRT,PCNA,SERPINH1
DACH1,CLIC1,DIAPH3,OLFML3
LINC01122,RNASE2,PLK1,CEBPD
EIF4G3,GABARAP,SPC25,NFKBIA
PRKCE,UQCRB,HIST1H2AM,LY6E
CDK6,ARHGDIB,CENPW,TGFBI
NKAIN2,SRGN,NDC80,CAVIN3
SLC39A11,HIGD2A,CDCA3,IGF2
TCF12,SRP14,APOBEC3B,MXRA8
PRKCB,APOC2,NUCB2,VCAM1
VPS13B,UQCR11,C21orf58,EPHX1
BABAM2,AIF1,DHFR,SOCS3
PTEN,COX6B1,MCM7,FSTL1
ZNF521,PPDPF,CENPK,TAGLN
UTRN,PLD4,KIF11,ID4
DOCK2,TOMM7,TMEM106C,COL6A1
SLC4A10,ERP29,DEPDC1,EMP2
DIAPH2,COMMD6,H2AFX,LEPR
ELMO1,CFD,GTSE1,PRDX4
DNAJC1,TPI1,KIF4A,CD63
GGA2,HSP90AB1,UHRF1,TNFAIP6
ANKRD44,PYCARD,ASPM,IGFBP3
EXOC4,B2M,HELLS,TSC22D1
RREB1,RAC2,HIST1H4I,SERPINF1
AC008014.1,RNASEK,ANLN,APOC1
USP3,COX7A2,UBE2S,RBP1
ESYT2,TMA7,DERL3,KLF6
GNAQ,PTMA,RPA3,CD99
INPP5D,OST4,HIST1H3C,LGALS3
CNOT6L,COX7C,HIST1H1E,EFEMP2
PCNX1,COX8A,SKA3,CALD1
BTBD11,ATP5F1D,CDT1,PLAAT4
NEGR1,SNHG7,PXMP2,HES4
DENND4A,GAS5,CCNB1,IGFBP2
FAM49B,PSME1,HMMR,CYGB
WNK1,HCST,KIF23,SFRP4
CHD2,YBX1,LMNB1,ARL4C
DOCK10,NDUFA4,CKS2,PMEPA1
KDM2A,PRR13,FOXM1,CHL1
AC125603.2,ARPC2,ANP32E,C1S
RUNX2,SNRPD2,DEPDC1B,FMO2
MEIS1,KCNE5,CIT,IL1R1
GNAI1,PGLS,CENPS,VIM
CCSER1,HLA-C,GINS2,CNN3
MT-CO1,C9orf16,ANP32B,DEPP1
C20orf194,UQCRH,NASP,JUND
BIRC6,ALDOA,SKA1,OLFML2B
