LSC_usage,Blast_Usage_1,Blast_Usage_2
SSBP2,FTL,TYMS
ANTXR2,CDKN2A,H2AFZ
ATP8B4,EEF1A1,TUBA1B
SCMH1,CD63,DUT
AUTS2,MS4A3,PCLAF
SPTBN1,LGALS1,HMGN2
ANKRD44,LAPTM5,FEN1
PDE7A,VIM,TUBB
RNF220,EEF1G,PCNA
HIVEP3,EEF2,HMGB1
FOXP1,EIF1,MCM4
IGF2BP2,CCND1,RANBP1
PDE4D,FTH1,TK1
BCL2,FAU,MCM7
RHEX,TPT1,STMN1
MDFIC,RAC2,HMGB2
S100Z,SH3BGRL3,GINS2
ZEB1,RACK1,ASF1B
BAALC,PRR13,ALYREF
IQGAP2,ZFAS1,CDT1
ETV6,COX7C,MCM3
FOXN3,CLIC1,RRM2
DIAPH2,GDF11,ZWINT
FNBP1,IMPDH2,MCM5
SEPTIN6,GNA15,RAN
ERMP1,ALDOA,GMNN
AC104088.1,COMMD6,DEK
RIPOR2,LAT,HSP90AA1
BCL11A,COTL1,FABP5
NRIP1,LIMD2,MAD2L1
PRAM1,MYL12A,UNG
IKZF1,H3F3B,CENPM
DAPK1,PFDN5,HMGA1
ZNF521,DRAP1,MCM2
PAM,UBA52,UHRF1
MIR99AHG,SLC25A6,HSPD1
SH3RF1,SSR4,UBE2C
IL12RB2,TALDO1,MCM6
CD44,GIHCG,LDHA
RERE,B2M,DHFR
AGPS,ATP5MG,CENPW
XIST,CD52,UBE2T
ESYT2,GAS5,NME1
MEF2A,CD37,ERH
DISC1,S100A6,SNRPG
TOX,ATP6V0B,PTMA
LPP,JUNB,CHCHD2
XYLT1,ARPC3,SIVA1
ABCD3,RNASEK,SNRPB
SLC38A1,TYROBP,ATP5MC3
MAPKBP1,APRT,PKMYT1
SDCCAG8,MYL12B,CLSPN
PAN3,UBC,BIRC5
NLRP1,MPP1,RNASEH2A
SORL1,SNHG29,SNRPD1
CERS6,LYL1,CDC6
SMYD3,TPSB2,ANP32B
PACS1,NACA,HIST1H4C
ULK4,SYNGR2,CCNA2
TBC1D5,PLP2,MYBL2
GMDS,ARPC1B,SLC29A1
IL6R,EMP3,HNRNPD
COL6A2,NFE2,PPM1G
AFF3,PABPC1,HSPE1
STARD9,TAGLN2,PGAM1
PLCL2,OAZ1,SNRPE
CD34,CYBA,GGH
PCNX2,RHOG,EIF5A
ERG,GABARAP,NME4
DPYD,EEF1B2,PAICS
SMAD2,UBB,CDK1
KAT6B,HLA-C,ORC6
SYT1,HLA-A,RRM1
PTPN14,CCNI,PPIA
FNDC3B,HYAL3,SMC1A
KCNQ5,UQCR11,NCL
SFMBT2,EIF3F,CKS1B
VAV3,BTF3,MZT2B
DLEU2,LAMTOR1,NPM1
DOCK2,SARAF,HNRNPA2B1
PRKCB,EIF4A1,RPA3
SCFD2,OST4,PA2G4
SMURF2,PNRC1,TPI1
GALNT14,ATP5MC2,MIF
PRELID2,PRDX5,SRSF3
RXFP1,ALAS1,SSRP1
SPNS2,PSAP,C1QBP
CALCOCO2,POLD4,DNMT1
PLEKHA5,WDR83OS,DCTPP1
SSH2,COX5A,CDC45
NEK7,NCOA4,TMEM106C
RBPMS,SIGLEC12,SMC2
FAM30A,CKS2,TOMM5
PYGL,ATP5F1E,NASP
SPINK2,CD68,TOP2A
RABGAP1L,PFN1,COX8A
PLAC8,COX6B1,CACYBP
RCSD1,ATP5F1B,DTYMK
MAML2,PTPN6,USP1
SBF2,ATP6AP1,RMI2
