LSC_usage,Blast_Usage_1
NAV3,TUBA1B
HDAC9,HMGN2
DPYD,TUBB
TNIK,TYMS
PAM,H2AFZ
TOX,STMN1
ATP8B4,HIST1H4C
NEGR1,HMGB1
SNX13,DUT
PRKCB,HMGB2
RAPGEF4,PFN1
LNCAROD,PCLAF
UNC79,PTMA
ZBTB20,SLC25A5
ATRNL1,PPIA
SERINC5,ANP32B
SSBP2,GSTP1
TAPT1,ACTB
SPON1,IGFBP2
PTPRC,GAPDH
HACE1,YBX1
ARHGAP15,CKS1B
UBASH3B,PHGDH
TPM4,COX8A
SORL1,DHFR
AFF3,SUMO2
NEK10,RAN
PDZD8,PCNA
SFMBT2,PKMYT1
XYLT1,HSP90AA1
AC073050.1,CDT1
MSRB3,EEF1B2
BAALC,RANBP1
LSM14A,LSM4
ZDHHC2,HMGA1
MYCBP2,TPI1
UMODL1,COX5A
LINC00926,ALYREF
MBD5,TK1
RICTOR,MIF
CYTH4,ERH
FTX,GGH
BACH2,COX6A1
AC016723.1,HSPD1
SBF2,LDHB
AL589693.1,RPA3
RALGAPA2,ATP5MC3
SMYD3,MTHFD2
ANTXR2,BIRC5
ITGA4,UBE2C
CDK19,GNG5
ENG,H3F3A
SYNE2,SHMT2
FNBP1,PTGES3
LYST,SIVA1
ARMCX3,HINT1
MEF2A,UQCRH
CPD,DEK
KLF12,HSPE1
STK39,SNRPD1
SLC24A3,CENPM
FYB1,CHCHD2
ELL2,NUCB2
ANKRD44,CENPU
GPC5,AURKB
BMPR1A,CENPW
ZDHHC20,UBE2T
CSGALNACT1,SNRPB
ARID1B,COX6C
CPNE8,ENO1
ELMO1,EIF4EBP1
LDLRAD4,NDUFB11
GNAQ,CFL1
PLD1,CDCA5
MEF2C-AS1,MFAP4
IQGAP2,ATP5MF
INPP4B,MKI67
ZNF493,MAD2L1
DTNA,HMGN1
ZNF292,MZT2B
TRIO,TMEM106C
MGMT,IDH2
ZEB1,ANP32E
NCOA2,FABP5
NDST3,ATP5MD
LPP,BANF1
PKD2,NPM1
FRY,TXN
WASHC4,TECR
TAOK3,HIST1H3B
FOXP1,UQCRQ
ZNF83,DTYMK
TNRC6B,CACYBP
AC104088.1,NUDT1
FLRT2,KIFC1
RAB11FIP1,PDIA6
KANK1,CDK4
NCOA1,TOP2A
CLEC12A,SKA3
UTRN,SNRPE
